"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","COND_STATUS_CD","COND_NONSAMPLE_REASN_CD","RESERVCD","OWNCD","OWNGRPCD","FORINDCD","ADFORCD","FORTYPCD","FLDTYPCD","MAPDEN","STDAGE","STDSZCD","FLDSZCD","SITECLCD","SICOND","SIBASE","SISP","STDORGCD","STDORGSP","PROP_BASIS","CONDPROP_UNADJ","MICRPROP_UNADJ","SUBPPROP_UNADJ","MACRPROP_UNADJ","SLOPE","ASPECT","PHYSCLCD","GSSTKCD","ALSTKCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","PRESNFCD","BALIVE","FLDAGE","ALSTK","GSSTK","FORTYPCDCALC","HABTYPCD1","HABTYPCD1_PUB_CD","HABTYPCD1_DESCR_PUB_CD","HABTYPCD2","HABTYPCD2_PUB_CD","HABTYPCD2_DESCR_PUB_CD","MIXEDCONFCD","VOL_LOC_GRP","SITECLCDEST","SITETREE_TREE","SITECL_METHOD","CARBON_DOWN_DEAD","CARBON_LITTER","CARBON_SOIL_ORG","CARBON_STANDING_DEAD","CARBON_UNDERSTORY_AG","CARBON_UNDERSTORY_BG","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","SOIL_ROOTING_DEPTH_PNW","GROUND_LAND_CLASS_PNW","PLANT_STOCKABILITY_FACTOR_PNW","STND_COND_CD_PNWRS","STND_STRUC_CD_PNWRS","STUMP_CD_PNWRS","FIRE_SRS","GRAZING_SRS","HARVEST_TYPE1_SRS","HARVEST_TYPE2_SRS","HARVEST_TYPE3_SRS","LAND_USE_SRS","OPERABILITY_SRS","STAND_STRUCTURE_SRS","NF_COND_STATUS_CD","NF_COND_NONSAMPLE_REASN_CD","CANOPY_CVR_SAMPLE_METHOD_CD","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","NBR_LIVE_STEMS","OWNSUBCD","INDUSTRIALCD_FIADB","RESERVCD_5","ADMIN_WITHDRAWN_CD","CHAINING_CD","LAND_COVER_CLASS_CD","AFFORESTATION_CD","PREV_AFFORESTATION_CD","DWM_FUELBED_TYPCD"
"214053594020004","196516310020004",2002,66,1,10,66044,2,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.5,.5,.5,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053503020004","196516309020004",2002,66,1,10,66045,1,5,2,0,46,40,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053501020004","196516289020004",2002,66,1,10,66051,1,1,,0,24,20,,,985,985,1,30,3,2,6,,,,0,,"SUBP",1,1,1,,0,0,,2,2,0,,,,,,0,,,,,,,50.5396,30,87.5706,87.5706,985,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053558020004","196516306020004",2002,66,1,10,66053,1,1,,0,46,40,,,985,985,1,30,3,1,6,,,,0,,"SUBP",.5,.5,.5,,0,0,,2,2,0,,,,,,0,,,,,,,96.9498,30,60.4286,60.4286,985,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053559020004","196516306020004",2002,66,1,10,66053,2,5,2,0,46,40,,,,,,,,,,,,,,,"SUBP",.5,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053598020004","196516288020004",2002,66,1,10,66054,1,1,,0,46,40,,,987,987,1,20,2,2,6,,,,0,,"SUBP",.559798,.5,.559798,,0,0,,2,2,0,,,,,,0,,,,,,,135.1617,20,72.6345,72.6345,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053599020004","196516288020004",2002,66,1,10,66054,2,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.440202,.5,.440202,,,,,,,,,,,,,,,,,,,40,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053606020004","196516308020004",2002,66,1,10,66055,1,2,,0,24,20,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053544020004","196516311020004",2002,66,1,10,66056,1,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053560020004","196516341020004",2002,66,1,10,66063,1,1,,0,24,20,,,987,987,1,50,3,2,6,,,,0,,"SUBP",1,1,1,,10,140,,2,2,0,,,,,,0,,,,,,,163.5967,50,82.2261,82.2261,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053580020004","196516307020004",2002,66,1,10,66065,1,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,10,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053510020004","196516340020004",2002,66,1,10,66066,1,4,,0,31,30,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053563020004","196516312020004",2002,66,1,10,66067,1,1,,0,32,30,,,987,987,1,30,2,2,6,,,,0,,"SUBP",.774193,.75,.774193,,0,0,,3,3,0,,,,,,0,,,,,,,100.6509,30,56.8706,56.8706,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053562020004","196516312020004",2002,66,1,10,66067,2,2,,0,32,30,,,,,,,,,,,,,,,"SUBP",.225807,.25,.225807,,,,,,,,,,,,,,,,,,,32,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053565020004","196516313020004",2002,66,1,10,66068,1,2,,0,32,30,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,20,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053516020004","196516297020004",2002,66,1,10,66070,1,4,,0,31,30,,,,,,,,,,,,,,,"SUBP",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053600020004","196516339020004",2002,66,1,10,66074,1,1,,0,46,40,,,987,987,1,20,3,1,6,,,,0,,"SUBP",.5,.5,.5,,0,0,,2,2,0,,,,,,0,,,,,,,124.6903,20,72.9143,72.9143,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-07-23,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053601020004","196516339020004",2002,66,1,10,66074,2,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.5,.5,.5,,,,,,,,,,,,,,,,,,,12,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-07-23,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053522020004","196516287020004",2002,66,1,10,66075,1,2,,0,32,30,,,,,,,,,,,,,,,"SUBP",.873534,.98635,.873534,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053521020004","196516287020004",2002,66,1,10,66075,2,1,,0,46,40,,,987,987,1,10,3,1,6,,,,0,,"SUBP",.126466,.01365,.126466,,0,0,,1,1,0,,,,,,0,,,,,,,0,10,120,120,987,"","","","","","","","S26LPI",6,,6,,,,,,,"",2014-04-26,"489998","",2015-01-12,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
"214053584020004","196516286020004",2002,66,1,10,66076,1,2,,0,46,40,,,,,,,,,,,,,,,"SUBP",.75,.75,.75,,,,,,,,,,,,,,,,,,,31,,,,,,"","","","","","","","S26LPI",,,,,,,,,,"",2014-04-26,"489998","",2014-11-25,"489998",2,1,"","",,,,"",,,,,,,,,,,,,,,,,0,,,,,,""
