,FIA_latin,SPCD,QUEBEC_NAME,COMMON_NAME,GENUS,SPECIES,MERGED,SILVICS,SUCCESSIONAL_ID,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,EAST,WEST,WOODLAND,MANUAL_START,MANUAL_END,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CORE,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,FIA_genus,Species,Aggregate.species,Data.set.1,Data.set.2,Evergreen,Gymnosperm,Shade.tolerance,Drought.tolerance,Waterlogging.tolerance,Niinemets_genus,ContinuumRank
151,tsuga canadensis,261,PRU,eastern hemlock,Tsuga,canadensis,1,1,1,,,TSCA,7,7,2,17,66,X,X,,,X,X,S,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.62759,0.38,1,0.46,3,98.58696,12,110.86842,4,0.4,1,17,35,0.12667,0.914,0.11975,tsuga,Tsuga canadensis,N,North America,North America,Y,Y,4.83,1,1.25,tsuga,
152,tsuga heterophylla,263,,western hemlock,Tsuga,heterophylla,1,1,1,,,TSHE,13,13,2,18,34,,,X,X,,X,S,,,X,X,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.67063,0.42,1,0.5,9,101.92,18,56.45238,4,0.45,1,15.8,27,0.12667,0.914,0.11975,tsuga,Tsuga heterophylla,N,North America,North America,Y,Y,4.96,1.17,0.95,tsuga,
153,tsuga mertensiana,264,,mountain hemlock,Tsuga,mertensiana,0.75,0.75,1,,,TSME,24,24,2,18,35,,,X,X,,X,S,,,X,X,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.42,1,0.41,3,91.53659,22,67.88095,4,0.45,1,15.8,21,0.12667,0.914,0.11975,tsuga,Tsuga mertensiana,N,North America,North America,Y,Y,4.48,1,0.95,tsuga,
154,acer barbatum,311,,Florida maple,Acer,barbatum,0.75,0.75,1,,,ACBA3,31,31,4,25,151,,,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84103,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.11585,0.94181,0.1074,acer,Acer barbatum,N,North America,North America,N,N,4.5,2.5,1,acer,
155,acer macrophyllum,312,,bigleaf maple,Acer,macrophyllum,1,1,1,,,ACMA3,47,47,3,25,130,,,X,,X,X,H,,,X,,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.44,1,0.48,3,113.66667,18,71.18182,5,0.48,1,10,30,0.11585,0.94181,0.1074,acer,Acer macrophyllum,N,North America,North America,N,N,4.14,2,2,acer,
156,acer negundo,313,ERG,boxelder,Acer,negundo,0.75,0.75,1,,,ACNE2,41,47,3,36,208,X,X,X,X,X,,H,,,,X,,E,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.42,19,0.5,22,92.3,22,90.78571,22,0.46,19,8.6,21,0.11585,0.94181,0.1074,acer,Acer negundo,N,North America,North America,N,N,3.47,3.03,2.75,acer,1
157,acer nigrum,314,ERN,black maple,Acer,nigrum,1,1,1,,,ACNI5,31,31,4,27,96,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84103,0.52,1,0.54,6,89.92593,11,69.5,22,0.57,1,15.6,21,0.12798,0.92267,0.12506,acer,Acer nigrum,N,North America,North America,N,N,3,3.35,1.52,acer,
158,acer pensylvanicum,315,ERP,striped maple,Acer,pensylvanicum,1,1,1,,,ACPE,43,43,3,27,221,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.44,11,0.5,22,89.1,22,71.18182,22,0.46,11,8.6,21,0.11585,0.94181,0.1074,acer,Acer pensylvanicum,N,North America,North America,N,N,3.56,2,1,acer,
159,acer rubrum,316,ERR,red maple,Acer,rubrum,0.75,0.75,1,,,ACRU,32,32,3,25,95,X,X,,,X,X,H,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.7443,0.49,1,0.6,5,78.95,11,63.53061,5,0.54,1,8.6,34,0.11585,0.94181,0.1074,acer,Acer rubrum,N,North America,North America,N,N,3.44,1.84,3.08,acer,7
160,acer saccharinum,317,ERA,silver maple,Acer,saccharinum,1,NA,1,,,ACSA2,32,32,3,25,97,X,X,,,X,X,H,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.7443,0.44,1,0.57,5,79.92982,22,67.54545,5,0.47,1,8.6,21,0.11585,0.94181,0.1074,acer,Acer saccharinum,N,North America,North America,N,N,3.6,2.88,3.37,acer,
161,acer saccharum,318,ERS,sugar maple,Acer,saccharum,1,1,1,,,ACSA3,31,31,4,27,96,X,X,,,X,X,H,X,X,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84103,0.56,1,0.54,5,89.92593,11,57.39286,5,0.63,1,15.6,34,0.12798,0.92267,0.12506,acer,Acer saccharum,N,North America,North America,N,N,4.76,2.25,1.09,acer,10
162,acer spicatum,319,ERE,mountain maple,Acer,spicatum,1,NA,1,,,ACSP2,43,43,4,25,221,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,N,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.11585,0.94181,0.1074,acer,Acer spicatum,N,North America,North America,N,N,3.31,2,2,acer,
163,acer platanoides,320,,Norway maple,Acer,platanoides,1,NA,1,,,ACPL,31,47,4,25,146,X,X,X,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,10/9/2009,440,N,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84103,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.11585,0.94181,0.1074,acer,Acer platanoides,N,Europe,Europe,N,N,4.2,2.73,1.46,acer,
164,acer glabrum,321,,Rocky Mountain maple,Acer,glabrum,1,NA,1,,,ACGL,43,48,4,38,159,X,,X,,X,,H,,,,,,,W,X,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,N,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.12798,0.92267,0.12506,acer,Acer glabrum,N,North America,North America,N,N,3.39,2.88,1.27,acer,
165,acer grandidentatum,322,,bigtooth maple,Acer,grandidentatum,1,NA,1,,,ACGR3,48,48,4,38,159,,,X,X,X,,H,,,,,,,W,X,1.7,NA,NA,2/24/2005,333,NA,8/10/2009,440,N,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.12798,0.92267,0.12506,acer,Acer grandidentatum,N,North America,North America,N,N,3,2.63,1.27,acer,
166,aesculus glabra,334,,Texas buckeye,Aesculus,glabra,1,NA,1,arguta,,AEGLA,41,41,3,27,101,X,,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.33,25,0.5,25,89,25,143,25,0.36,25,15,25,0.12766,0.91979,0.12152,aesculus,Aesculus glabra,N,North America,North America,N,N,3.49,2.88,1.27,aesculus,
167,aesculus glabra,331,,Ohio buckeye,Aesculus,glabra,0.75,0.75,1,,,AEGL,41,47,3,27,101,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.33,25,0.5,25,89,25,143,25,0.36,25,15,25,0.12766,0.91979,0.12152,aesculus,Aesculus glabra,N,North America,North America,N,N,3.49,2.88,1.27,aesculus,
168,aesculus flava,332,,yellow buckeye,Aesculus,flava,0.75,0.75,1,,,AEFL,43,43,3,27,101,X,X,,,X,,H,,,,,,E,,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.33,11,0.5,22,89.1,22,142.81818,5,0.36,11,15,21,0.12766,0.91979,0.12152,aesculus,Aesculus flava,N,North America,North America,N,N,4.14,2,1.12,aesculus,
169,aesculus californica,333,,California buckeye,Aesculus,californica,1,NA,1,,,AECA,41,47,3,27,221,,,X,,,,H,,,,,,,W,,1.7,NA,NA,2/24/2005,333,NA,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.33,25,0.5,25,89,25,143,25,0.36,25,15,25,0.12766,0.91979,0.12152,aesculus,Aesculus californica,N,North America,North America,N,N,2.5,2.88,1.77,aesculus,
170,aesculus pavia,336,,red buckeye,Aesculus,pavia,1,NA,1,,,AEPA,43,47,3,27,101,X,X,,,X,,H,,,,,,E,,,2,NA,NA,2/24/2005,333,NA,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.33,25,0.5,25,89,25,143,25,0.36,25,15,25,0.12766,0.91979,0.12152,aesculus,Aesculus pavia,N,North America,North America,N,N,4,2,2,aesculus,
